,sentences
782,"['l', 'o', 'v', 'e', ' ', 's', 'u', 'b', 't', 'i', 't', 'l', 'e', ' ', 'b', 'o', 'o', 'k', ' ', 'r', 'e', 'v', 'o', 'l', 'u', 't', 'i', 'o', 'n', 'i', 'z', 'e', ' ', 'e', 'v', 'e', 'r', 'y', 't', 'h', 'i', 'n', 'g', ' ', 'l', 'i', 't', 't', 'l', 'e', ' ', 'b', 'o', 'm', 'b', 'a', 's', 't', 'i', 'c', ' ', 'p', 'e', 'r', 's', 'o', 'n', 'a', 'l', 'i', 't', 'y', ' ', 'b', 'e', 'l', 'i', 'e', 'v', 'e']"
783,"['t', 'h', 'i', 'n', 'k', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 't', 'h', 'r', 'e', 'e', ' ', 'w', 'a', 'y', 's', ' ', 'u', 'n', 'p', 'a', 'c', 'k']"
784,"['f', 'i', 'r', 's', 't', ' ', 'p', 'r', 'i', 'n', 'c', 'i', 'p', 'l', 'e', ' ', 'i', 'n', 'c', 'u', 'r']"
785,"['w', 'a', 'n', 'n', 'a', ' ', 't', 'a', 'l', 'k', ' ', 's', 'p', 'e', 'c', 'i', 'f', 'i', 'c', ' ', 'e', 'x', 'p', 'l', 'a', 'i', 'n', ' ', 'l', 'e', 'a', 's', 't', ' ', 'f', 'i', 'n', 'd', ' ', 'e', 'x', 'c', 'i', 't', 'i', 'n', 'g']"
786,"['k', 'n', 'o', 'w', ' ', 'f', 'i', 'r', 's', 't', ' ', 'f', 'o', 'r', 'e', 'm', 'o', 's', 't', ' ', 'i', 'n', 't', 'e', 'r', 'n', 'e', 't', ' ', 'i', 'm', 'p', 'o', 'r', 't', 'a', 'n', 't', ' ', 't', 'e', 'c', 'h', 'n', 'o', 'l', 'o', 'g', 'i', 'c', 'a', 'l', ' ', 'i', 'n', 'n', 'o', 'v', 'a', 't', 'i', 'o', 'n', 's', ' ', 'h', 'u', 'm', 'a', 'n', ' ', 'h', 'i', 's', 't', 'o', 'r', 'y', ' ', 'l', 'i', 'k', 'e', ' ', 't', 'r', 'u', 'l', 'y', ' ', 't', 'h', 'o', 'u', 's', 'a', 'n', 'd', 's', ' ', 'y', 'e', 'a', 'r', 's']"
787,"['t', 'a', 'l', 'k', 'i', 'n', 'g', ' ', 's', 'u', 'c', 'c', 'e', 's', 's', 'o', 'r']"
788,"['f', 'u', 'n', 'd', 'a', 'm', 'e', 'n', 't', 'a', 'l', ' ', 'c', 'h', 'a', 'n', 'g', 'e', 's', ' ', 't', 'e', 'c', 'h', 'n', 'o', 'l', 'o', 'g', 'y', ' ', 'e', 'x', 'c', 'i', 't', 'e', ' ', 'h', 'i', 's', 't', 'o', 'r', 'y', ' ', 't', 'e', 'l', 'l', 's', ' ', 's', 'o', 'c', 'i', 'e', 't', 'y', ' ', 'c', 'h', 'a', 'n', 'g', 'e', 's', ' ', 'b', 'u', 's', 'i', 'n', 'e', 's', 's', ' ', 'c', 'h', 'a', 'n', 'g', 'e', 's', ' ', 'g', 'o', 'v', 'e', 'r', 'n', 'm', 'e', 'n', 't', 's', ' ', 'c', 'h', 'a', 'n', 'g', 'e', ' ', 'p', 'r', 'o', 'd', 'u', 'c', 't', 's', ' ', 'b', 'u', 's', 'i', 'n', 'e', 's', 's', ' ', 'm', 'o', 'd', 'e', 'l', 's', ' ', 'd', 'e', 'p', 'l', 'o', 'y', 'e', 'd', ' ', 'l', 'e', 'a', 'd', 'e', 'r', 's', ' ', 'p', 'h', 'i', 'l', 'o', 's', 'o', 'p', 'h', 'i', 'e', 's', ' ', 'c', 'o', 'r', 'p', 'o', 'r', 'a', 't', 'i', 'o', 'n', 's']"
789,"['a', 'f', 'f', 'e', 'c', 't', 'e', 'd', ' ', 'i', 'n', 't', 'e', 'r', 'n', 'e', 't']"
790,"['s', 'e', 'c', 'o', 'n', 'd', ' ', 't', 'h', 'i', 'n', 'g', ' ', 'r', 'e', 'c', 'o', 'g', 'n', 'i', 'z', 'e', ' ', 'p', 'a', 'r', 't', ' ', 't', 'a', 'l', 'k', 'i', 'n', 'g', ' ', 'r', 'e', 'v', 'o', 'l', 'u', 't', 'i', 'o', 'n', ' ', 'i', 'd', 'e', 'a']"
791,"['k', 'n', 'o', 'w', ' ', 'b', 'u', 'i', 'l', 'd', 'i', 'n', 'g', ' ', 'm', 'e', 't', 'a', ' ', 'r', 'e', 'q', 'u', 'i', 'r', 'e', 's', ' ', 'd', 'e', 'e', 'p', ' ', 'a', 'l', 't', 'e', 'r', 'a', 't', 'i', 'o', 'n', 's', ' ', 'e', 'n', 'h', 'a', 'n', 'c', 'e', 'm', 'e', 'n', 't', 's', ' ', 'e', 'v', 'e', 'r', 'y', 't', 'h', 'i', 'n', 'g', ' ', 'u', 'p', 'o', 'n', ' ', 'i', 'n', 't', 'e', 'r', 'n', 'e', 't', ' ', 'b', 'u', 'i', 'l', 't']"
792,"['n', 'e', 't', 'w', 'o', 'r', 'k', 'i', 'n', 'g', ' ', 'i', 'n', 'f', 'r', 'a', 's', 't', 'r', 'u', 'c', 't', 'u', 'r', 'e', ' ', 'h', 'a', 'r', 'd', 'w', 'a', 'r', 'e']"
793,"['a', 'l', 'r', 'e', 'a', 'd', 'y', ' ', 'b', 'e', 'l', 'i', 'e', 'v', 'e', ' ', 'i', 'n', 't', 'e', 'r', 'n', 'e', 't', ' ', 'r', 'e', 'm', 'a', 'r', 'k', 'a', 'b', 'l', 'e']"
794,"['t', 'w', 'e', 'n', 't', 'y', ' ', 'p', 'e', 'r', 'c', 'e', 'n', 't', ' ', 'g', 'l', 'o', 'b', 'a', 'l', ' ', 'e', 'c', 'o', 'n', 'o', 'm', 'y', ' ', 'u', 'p', 'g', 'r', 'a', 'd', 'e', ' ', 'a', 'r', 'c', 'h', 'i', 't', 'e', 'c', 't', 'u', 'r', 'e', ' ', 'd', 'e', 's', 'i', 'g', 'n', ' ', 'p', 'r', 'i', 'o', 'r', 'i', 't', 'i', 'z', 'a', 't', 'i', 'o', 'n', ' ', 'h', 'u', 'g', 'e', ' ', 'o', 'p', 'p', 'o', 'r', 't', 'u', 'n', 'i', 't', 'y', ' ', 'e', 's', 'p', 'e', 'c', 'i', 'a', 'l', 'l', 'y', ' ', 'b', 'u', 's', 'i', 'n', 'e', 's', 's']"
795,"['s', 'e', 'c', 'o', 'n', 'd', ' ', 't', 'h', 'i', 'n', 'k', ' ', 'r', 'e', 'c', 'o', 'g', 'n', 'i', 'z', 'e', ' ', 'm', 'a', 'k', 'e', 's', ' ', 'c', 'h', 'a', 'n', 'g', 'e']"
796,"['a', 'r', 't', 'i', 'c', 'u', 'l', 'a', 't', 'e', ' ', 'e', 'x', 'a', 'm', 'p', 'l', 'e', ' ', 'r', 'e', 'a', 'l', ' ', 'r', 'e', 'v', 'o', 'l', 'u', 't', 'i', 'o', 'n', ' ', 'm', 'o', 'b', 'i', 'l', 'e', ' ', 's', 'u', 'd', 'd', 'e', 'n', 'l', 'y', ' ', 'c', 'o', 'm', 'p', 'u', 't', 'e', 'r', ' ', 'p', 'o', 'c', 'k', 'e', 't', ' ', 't', 'i', 'm', 'e', ' ', 'a', 'c', 'c', 'e', 's', 's', ' ', 'i', 'n', 't', 'e', 'r', 'n', 'e', 't', ' ', 'o', 'p', 'p', 'o', 's', 'e', 'd', ' ', 'o', 'c', 'c', 'a', 's', 'i', 'o', 'n', 'a', 'l', ' ', 'a', 'c', 'c', 'e', 's', 's']"
797,"['p', 'o', 'i', 'n', 't', 's', ' ', 'e', 's', 's', 'e', 'n', 't', 'i', 'a', 'l', ' ', 'g', 'o', 'n', 'n', 'a', ' ', 'r', 'e', 'v', 'o', 'l', 'u', 't', 'i', 'o', 'n']"
798,"['r', 'e', 'v', 'o', 'l', 'u', 't', 'i', 'o', 'n', ' ', 's', 't', 'r', 'u', 'c', 't', 'u', 'r', 'a', 'l', 'l', 'y', ' ', 's', 'h', 'i', 'f', 't', 'e', 'd', ' ', 'a', 'c', 'c', 'e', 's', 's', ' ', 'c', 'o', 'm', 'p', 'u', 't', 'i', 'n', 'g', ' ', 'n', 'e', 't', 'w', 'o', 'r', 'k', 'i', 'n', 'g', ' ', 'r', 'e', 's', 'o', 'u', 'r', 'c', 'e', 's', ' ', 'b', 'i', 'l', 'l', 'i', 'o', 'n', 's', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 'r', 'e', 's', 'o', 'u', 'r', 'c', 'e', 's', ' ', 's', 'o', 'l', 'v', 'e', 'd', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's', ' ', 'n', 'e', 'v', 'e', 'r', ' ', 'i', 'm', 'a', 'g', 'i', 'n', 'e', 'd']"
799,"['w', 'i', 'd', 'e', 's', 'p', 'r', 'e', 'a', 'd', ' ', 'c', 'h', 'a', 'n', 'g', 'e', 'd']"
800,"['f', 'i', 'e', 'l', 'd', 's', ' ', 'b', 'e', 'l', 'i', 'e', 'v', 'e', ' ', 'i', 'n', 't', 'e', 'r', 'n', 'e', 't', ' ', 'p', 'e', 'r', 's', 'o', 'n', 'a', 'l', ' ', 'c', 'o', 'm', 'p', 'u', 't', 'e', 'r', ' ', 's', 'i', 't', 't', 'i', 'n', 'g', ' ', 'd', 'e', 's', 'k', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'r', 'e', 'a', 'c', 'h']"
801,"['r', 'e', 'a', 'c', 'h']"
802,"['e', 'x', 'c', 'i', 't', 'i', 'n', 'g']"
803,"['t', 'h', 'i', 'r', 'd', ' ', 't', 'a', 'l', 'k', ' ', 'i', 'n', 's', 't', 'a', 'n', 't', ' ', 'p', 'r', 'o', 'n', 'u', 'n', 'c', 'i', 'a', 't', 'i', 'o', 'n', 's']"
804,"['s', 'e', 'e', 'i', 'n', 'g', ' ', 'd', 'e', 'v', 'i', 'c', 'e', 's', ' ', 'u', 's', 'e', 'd', ' ', 's', 'u', 'r', 'g', 'e', 'r', 'y', ' ', 's', 'e', 'e', 'i', 'n', 'g', ' ', 'd', 'e', 'p', 'l', 'o', 'y', 'e', 'd', ' ', 'm', 'i', 'l', 'i', 't', 'a', 'r', 'y']"
805,"['s', 'e', 'e', 'i', 'n', 'g', ' ', 'u', 's', 'e', 'd', ' ', 'd', 'e', 's', 'i', 'g', 'n', ' ', 'b', 'u', 'i', 'l', 'd', 'i', 'n', 'g', 's', ' ', 's', 'i', 'm', 'u', 'l', 'a', 't', 'i', 'o', 'n', ' ', 'a', 't', 'o', 'm', ' ', 's', 'o', 'u', 'n', 'd', ' ', 'w', 'a', 'v', 'e']"
806,"['l', 'i', 'g', 'h', 't']"
807,"['i', 'm', 'p', 'r', 'o', 'v', 'e', ' ', 'e', 'n', 'e', 'r', 'g', 'y', ' ', 'e', 'f', 'f', 'i', 'c', 'i', 'e', 'n', 'c', 'y']"
808,"['s', 'e', 'e', 'i', 'n', 'g', ' ', 'd', 'e', 'p', 'l', 'o', 'y', 'e', 'd', ' ', 'e', 'a', 's', 'e', ' ', 'v', 'i', 'd', 'e', 'o', ' ', 'c', 'o', 'n', 'f', 'e', 'r', 'e', 'n', 'c', 'i', 'n', 'g', ' ', 'p', 'r', 'o', 'd', 'u', 'c', 'e', ' ', 'g', 'r', 'e', 'a', 't', 'e', 'r', ' ', 'e', 'm', 'o', 't', 'i', 'o', 'n', 'a', 'l', ' ', 'c', 'o', 'n', 'n', 'e', 'c', 't', 'i', 'v', 'i', 't', 'y', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 'b', 'e', 'l', 'i', 'e', 'v', 'e', ' ', 't', 'a', 'k', 'e', ' ', 't', 'h', 'e', 'o', 'r', 'i', 'e', 's', ' ', 'h', 'i', 'g', 'h', ' ', 'a', 'b', 's', 't', 'r', 'a', 'c', 't', 'i', 'o', 'n', ' ', 'i', 'n', 't', 'e', 'r', 'n', 'e', 't', ' ', 't', 'a', 'l', 'k', ' ', 'c', 'h', 'a', 'n', 'g', 'i', 'n', 'g', ' ', 'a', 'r', 'c', 'h', 'i', 't', 'e', 'c', 't', 'u', 'r', 'e']"
809,"['t', 'a', 'l', 'k', ' ', 'm', 'e', 'a', 'n', 's', ' ', 'u', 's', 'e', 's', ' ', 't', 'h', 'i', 'n', 'g', 's']"
810,"['l', 'o', 'o', 'k', ' ', 'p', 'r', 'i', 'm', 'i', 't', 'i', 'v', 'e', ' ', 'd', 'e', 'p', 'l', 'o', 'y', 'm', 'e', 'n', 't', 's']"
811,"['a', 'c', 't', 'u', 'a', 'l', 'l', 'y', ' ', 'e', 'v', 'e', 'n', ' ', 't', 'a', 'l', 'k', 'i', 'n', 'g', ' ', 'm', 'e', 't', 'a']"
812,"['t', 'a', 'l', 'k', 'i', 'n', 'g', ' ', 'n', 'e', 't', 'w', 'o', 'r', 'k']"
813,"['t', 'a', 'l', 'k', 'i', 'n', 'g', ' ', 's', 'p', 'e', 'c', 'i', 'f', 'i', 'c', ' ', 'a', 'p', 'p', 'l', 'i', 'c', 'a', 't', 'i', 'o', 'n']"
814,"['r', 'i', 'g', 'h', 't', ' ', 's', 'o', 'f', 't', 'w', 'a', 'r', 'e', ' ', 'r', 'u', 'n', 'n', 'i', 'n', 'g']"
816,"['p', 'e', 'o', 'p', 'l', 'e']"
817,"['r', 'e', 'm', 'a', 'r', 'k', 'a', 'b', 'l', 'e', ' ', 'f', 'i', 'n', 'd', ' ', 'i', 'n', 'c', 'r', 'e', 'd', 'i', 'b', 'l', 'y', ' ', 'i', 'n', 's', 'p', 'i', 'r', 'i', 'n', 'g']"
818,"['c', 'o', 'm', 'm', 'e', 'n', 't', 's', ' ', 's', 'p', 'e', 'a', 'k', 'i', 'n', 'g', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 's', 'p', 'a', 'c', 'e']"
819,"['c', 'o', 'm', 'e', ' ', 'p', 'r', 'o', 'b', 'a', 'b', 'l', 'y', ' ', 's', 't', 'r', 'o', 'n', 'g', 'e', 'r', ' ', 'b', 'a', 'c', 'k', 'g', 'r', 'o', 'u', 'n', 'd', ' ', 'v', 'i', 'r', 't', 'u', 'a', 'l', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y', ' ', 'k', 'i', 'n', 'd', ' ', 'a', 'r', 'e', 'a', ' ', 's', 'p', 'a', 'c', 'e']"
820,"['c', 'o', 'm', 'm', 'e', 'n', 't', 's', ' ', 's', 'p', 'e', 'a', 'k', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 'e', 's', 'p', 'e', 'c', 'i', 'a', 'l', 'l', 'y', ' ', 'c', 'o', 'm', 'm', 'u', 'n', 'i', 't', 'y', ' ', 'p', 'o', 'i', 'n', 't', ' ', 't', 'i', 'm', 'e', ' ', 'w', 'e', 'l', 'l', ' ', 'c', 'o', 'n', 's', 'i', 'd', 'e', 'r', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y', ' ', 'g', 'o', 'i', 'n', 'g', ' ', 'f', 'o', 'r', 'w', 'a', 'r', 'd', ' ', 'c', 'a', 'l', 'l', ' ', 'm', 'e', 't', 'a', ' ', 'b', 'e', 's', 't', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y']"
821,"['a', 'l', 'w', 'a', 'y', 's', ' ', 'd', 'i', 'f', 'f', 'e', 'r', 'e', 'n', 't', ' ', 't', 'h', 'i', 'n', 'g', 's', ' ', 'd', 'i', 'f', 'f', 'e', 'r', 'e', 'n', 't', ' ', 's', 'e', 'm', 'a', 'n', 't', 'i', 'c', 's', ' ', 'd', 'e', 'f', 'i', 'n', 'i', 't', 'i', 'o', 'n', 's', ' ', 'd', 'i', 'f', 'f', 'e', 'r', 'e', 'n', 't', ' ', 't', 'h', 'i', 'n', 'g', 's', ' ', 'p', 'e', 'o', 'p', 'l', 'e']"
822,"['t', 'h', 'i', 'n', 'k', ' ', 'r', 'i', 'g', 'h', 't', ' ', 'g', 'u', 'e', 's', 's', ' ', 's', 'o', 'm', 'e', 'o', 'n', 'e', ' ', 'm', 'a', 'y', 'b', 'e', ' ', 's', 'p', 'a', 'c', 'e', ' ', 'k', 'n', 'o', 'w', ' ', 't', 'w', 'e', 'n', 't', 'y', ' ', 's', 'e', 'v', 'e', 'n', 't', 'e', 'e', 'n', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 's', 't', 'a', 'r', 't', ' ', 'f', 'u', 'l', 'l', ' ', 'r', 'e', 's', 'u', 'r', 'g', 'e', 'n', 'c', 'e', ' ', 'm', 'a', 'y', 'b', 'e', ' ', 't', 'w', 'e', 'n', 't', 'y', ' ', 'f', 'o', 'u', 'r', 't', 'e', 'e', 'n']"
823,"['w', 'o', 'u', 'l', 'd', ' ', 'c', 'o', 'n', 's', 'i', 'd', 'e', 'r', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y', ' ', 's', 'p', 'a', 'c', 'e', ' ', 'm', 'a', 'i', 'n', 'l', 'y', ' ', 'p', 'u', 'b', 'l', 'i', 's', 'h', 'i', 'n', 'g', ' ', 'm', 'e', 'd', 'i', 'a', ' ', 'g', 'o', 'i', 'n', 'g']"
824,"['w', 'o', 'u', 'l', 'd', ' ', 'r', 'e', 'f', 'e', 'r', ' ', 'm', 'a', 't', 't', 'e', 'r', ' ', 'b', 'e', 's', 't', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y', ' ', 't', 'h', 'i', 'n', 'k', ' ', 'n', 'e', 'c', 'e', 's', 's', 'a', 'r', 'i', 'l', 'y', ' ', 'r', 'i', 'g', 'h', 't', ' ', 'w', 'r', 'o', 'n', 'g', ' ', 't', 'a', 'k', 'e']"
825,"['s', 'e', 'm', 'a', 'n', 't', 'i', 'c', 's', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 'i', 'n', 't', 'e', 'r', 'r', 'u', 'p', 't']"
826,"['m', 'e', 'a', 'n', ' ', 'c', 'e', 'r', 't', 'a', 'i', 'n', 'l', 'y', ' ', 'a', 'g', 'r', 'e', 'e', ' ', 'p', 'e', 'r', 's', 'p', 'e', 'c', 't', 'i', 'v', 'e', ' ', 'c', 'a', 'l', 'l', 'i', 'n', 'g', ' ', 's', 'o', 'm', 'e', 't', 'h', 'i', 'n', 'g', ' ', 'v', 'e', 'r', 's', 'u', 's', ' ', 'p', 'l', 'a', 't', 'f', 'o', 'r', 'm', ' ', 'e', 'c', 'o', 'n', 'o', 'm', 'i', 'c', 'a', 'l', 'l', 'y', ' ', 'w', 'r', 'o', 'n', 'g']"
827,"['f', 'o', 'r', 'm', 'e', 'r']"
828,"['l', 'a', 't', 't', 'e', 'r', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'c', 'o', 'r', 'r', 'e', 'c', 't']"
829,"['k', 'n', 'o', 'w', ' ', 'e', 'v', 'e', 'r', 'y', 'o', 'n', 'e', ' ', 'u', 's', 'e', 's', ' ', 't', 'e', 'r', 'm', ' ', 'm', 'e', 't', 'a', ' ', 's', 'i', 'n', 'g', 'u', 'l', 'a', 'r']"
831,"['f', 'i', 'n', 'd', ' ', 'g', 'u', 'e', 's', 's', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'l', 'o', 's', 'e', ' ', 'b', 'a', 't', 't', 'l', 'e']"
832,"['p', 'e', 'o', 'p', 'l', 'e', ' ', 'c', 'a', 'l', 'l', ' ', 'r', 'o', 'b', 'l', 'o', 'x', ' ', 'b', 'o', 'a', 'r', 'd']"
833,"['l', 'o', 'n', 'g', ' ', 't', 'e', 'r', 'm', ' ', 'w', 'h', 'o', 'l', 'e', ' ', 't', 'e', 'r', 'm', ' ', 'a', 'w', 'a', 'y']"
834,"['t', 'a', 'l', 'k', ' ', 'i', 'n', 't', 'e', 'r', 'n', 'e', 't', ' ', 'm', 'a', 'y', 'b', 'e', ' ', 't', 'h', 'r', 'e', 'e', ' ', 'i', 'n', 't', 'e', 'r', 'n', 'e', 't', ' ', 'd', 'i', 'f', 'f', 'e', 'r', 'e', 'n', 't', 'i', 'a', 't', 'e', ' ', 'g', 'e', 'n', 'e', 'r', 'a', 't', 'i', 'o', 'n', 'a', 'l', ' ', 'i', 'n', 't', 'e', 'r', 'n', 'e', 't', ' ', 'n', 'i', 'n', 'e', 't', 'i', 'e', 's', ' ', 't', 'o', 'd', 'a', 'y']"
835,"['k', 'i', 'n', 'd', ' ', 'e', 'x', 't', 'e', 'n', 'd', 's', ' ', 'f', 'i', 'n', 'd', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 's', 'a', 'y', 'i', 'n', 'g', ' ', 'f', 'i', 'r', 's', 't', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y', ' ', 'n', 'u', 'i', 's', 'a', 'n', 'c', 'e', ' ', 'k', 'i', 'n', 'd', ' ', 't', 'r', 'i', 'e', 'd', ' ', 'm', 'o', 'v', 'e', ' ', 'b', 'e', 'y', 'o', 'n', 'd', ' ', 'c', 'a', 'r', 'i', 'n', 'g']"
836,"['r', 'e', 'm', 'i', 'n', 'd', 's', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'i', 'e', 's', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'n', 'i', 'n', 'e', 't', 'i', 'e', 's', ' ', 's', 'u', 'd', 'd', 'e', 'n', ' ', 'i', 'n', 't', 'e', 'r', 'n', 'e', 't', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y']"
837,"['l', 'i', 'k', 'e', ' ', 'o', 'k', 'a', 'y', ' ', 'p', 'a', 'g', 'e', ' ', 'm', 'a', 'k', 'e', ' ', 'd', 'i', 'g', 'i', 't', 'a', 'l', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y']"
838,"['f', 'u', 'n', 'd', 'a', 'm', 'e', 'n', 't', 'a', 'l', ' ', 'c', 'u', 'l', 't', 'u', 'r', 'a', 'l', ' ', 'f', 'i', 'n', 'a', 'n', 'c', 'i', 'a', 'l', ' ', 'p', 'h', 'i', 'l', 'o', 's', 'o', 'p', 'h', 'i', 'c', 'a', 'l', ' ', 'd', 'e', 'c', 'i', 's', 'i', 'o', 'n']"
839,"['e', 'a', 's', 'y', ' ', 'l', 'i', 't', 't', 'l', 'e', ' ', 'd', 'i', 's', 't', 'r', 'i', 'b', 'u', 't', 'e', 'd', ' ', 'm', 'a', 'n', 'y', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 'w', 'r', 'i', 't', 'i', 'n', 'g', ' ', 't', 'h', 'e', 'm', 'e', ' ', 'r', 'a', 'n', 'd', 'o', 'm', ' ', 'o', 'f', 't', 'e', 'n', ' ', 's', 'e', 'e', 'm', 's', ' ', 'p', 'a', 'r', 't', 'l', 'y', ' ', 'r', 'e', 'f', 'l', 'e', 'c', 't', 'i', 'o', 'n', ' ', 'f', 'a', 'c', 't', ' ', 'm', 'e', 't', 'a', ' ', 'a', 'f', 'f', 'e', 'c', 't', 's', ' ', 'e', 'v', 'e', 'r', 'y', 'o', 'n', 'e']"
840,"['i', 'n', 'd', 'e', 'e', 'd', ' ', 's', 'u', 'c', 'c', 'e', 's', 's', 'o', 'r', ' ', 'i', 'n', 't', 'e', 'r', 'n', 'e', 't', ' ', 'm', 'e', 'a', 'n', 's']"
841,"['s', 'o', 'u', 'n', 'd', 's', ' ', 'l', 'i', 't', 't', 'l', 'e', ' ', 's', 't', 'r', 'a', 'n', 'g', 'e', ' ', 'c', 'h', 'e', 'v', 'r', 'o', 'n', ' ', 's', 'a', 'y', 's', ' ', 'g', 'o', 'n', 'n', 'a', ' ', 'g', 'r', 'o', 'w', ' ', 'p', 'a', 'n', 'e']"
842,"['t', 'r', 'u', 'e', ' ', 'n', 'e', 'x', 't', ' ', 'g', 'e', 'n', 'e', 'r', 'a', 't', 'i', 'o', 'n', ' ', 'i', 'n', 't', 'e', 'r', 'n', 'e', 't']"
843,"['r', 'e', 'g', 'a', 'r', 'd', 's', ' ', 'f', 'e', 'a', 't', 'u', 'r', 'e']"
844,"['e', 'v', 'e', 'r', 'y', 'o', 'n', 'e', ' ', 's', 'a', 'y', 's', ' ', 'p', 'a', 'r', 't']"
845,"['q', 'u', 'e', 's', 't', 'i', 'o', 'n', ' ', 'r', 'e', 'l', 'a', 't', 'e', 'd', ' ', 'b', 'l', 'o', 'c', 'k', 'c', 'h', 'a', 'i', 'n', ' ', 'c', 'e', 'n', 't', 'r', 'a', 'l', 'i', 'z', 'e', 'd', ' ', 'a', 's', 'p', 'e', 'c', 't', ' ', 'm', 'a', 't', 't', 'e', 'r', 's']"
846,"['t', 'h', 'i', 'n', 'k', ' ', 't', 'o', 'p', 'i', 'c', 's', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'l', 'i', 'k', 'e', ' ', 'c', 'o', 'v', 'e', 'r', ' ', 'n', 'e', 'x', 't', ' ', 'm', 'i', 'n', 'u', 't', 'e', 's']"
847,"['p', 'e', 'o', 'p', 'l', 'e', ' ', 'b', 'e', 'l', 'i', 'e', 'v', 'e', ' ', 'b', 'l', 'o', 'c', 'k', 'c', 'h', 'a', 'i', 'n', ' ', 't', 'e', 'c', 'h', 'n', 'o', 'l', 'o', 'g', 'y', ' ', 't', 'e', 'c', 'h', 'n', 'o', 'l', 'o', 'g', 'i', 'e', 's', ' ', 'e', 's', 's', 'e', 'n', 't', 'i', 'a', 'l', ' ', 'p', 'a', 'r', 't', ' ', 'c', 'r', 'e', 'a', 't', 'i', 'o', 'n', ' ', 'm', 'a', 't', 't', 'e', 'r', ' ', 'a', 'b', 'l', 'e', ' ', 't', 'o', 'k', 'e', 'n', ' ', 'a', 's', 's', 'e', 't', 's', ' ', 'a', 'b', 'l', 'e', ' ', 'p', 'o', 'r', 't', ' ', 'a', 's', 's', 'e', 't', ' ', 'p', 'l', 'a', 't', 'f', 'o', 'r', 'm', ' ', 'a', 'b', 'l', 'e', ' ', 's', 'e', 'c', 'u', 'r', 'e', 'l', 'y', ' ', 't', 'r', 'a', 'n', 's', 'a', 'c', 't', ' ', 'a', 'f', 'f', 'i', 'r', 'm', ' ', 'o', 'w', 'n', 'e', 'r', 's', 'h', 'i', 'p', ' ', 'a', 's', 's', 'e', 't', 's', ' ', 'u', 's', 'i', 'n', 'g', ' ', 'k', 'i', 'n', 'd', ' ', 's', 'e', 'c', 'u', 'r', 'e', ' ', 't', 'e', 'c', 'h', 'n', 'o', 'l', 'o', 'g', 'y']"
848,"['p', 'r', 'o', 'b', 'l', 'e', 'm', ' ', 'p', 'o', 'i', 'n', 't', ' ', 'v', 'i', 'e', 'w', ' ', 't', 'a', 'k', 'e', ' ', 't', 'a', 'k', 'e']"
849,"['f', 'a', 'c', 't', ' ', 'l', 'o', 'a', 'd', 's', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'i', 'e', 's', ' ', 'l', 'e', 'g', 'a', 'c', 'y', ' ', 's', 'y', 's', 't', 'e', 'm', 's', ' ', 'l', 'e', 'g', 'i', 's', 'l', 'a', 't', 'i', 'o', 'n', ' ', 'p', 'o', 'l', 'i', 'c', 'y', ' ', 's', 'y', 's', 't', 'e', 'm', 's', ' ', 'b', 'u', 'i', 'l', 't', ' ', 'c', 'r', 'e', 'a', 't', 'e', 'd', ' ', 'c', 'e', 'r', 't', 'a', 'i', 'n', ' ', 'i', 'm', 'p', 'o', 's', 's', 'i', 'b', 'l', 'e', ' ', 'm', 'i', 'g', 'r', 'a', 't', 'e', ' ', 't', 'o', 'g', 'e', 't', 'h', 'e', 'r', ' ', 't', 'o', 'w', 'a', 'r', 'd', 's', ' ', 'b', 'l', 'o', 'c', 'k', 'c', 'h', 'a', 'i', 'n', ' ', 't', 'e', 'c', 'h', 'n', 'o', 'l', 'o', 'g', 'y']"
