,sentences
698,ladies gentlemen today real master matters means
701,great really excited today
702,thank much joining
703,usually always guests start little origin story
704,would like understand passions background cover math right
705,sure
706,place start
707,work experience pretty diversified thousands wildfire initial attack
708,full time
709,started business issuing professional boating craft licenses behalf canadian coast guard shifting private equity
710,focused primarily virtualization systems
711,kind early towards outcome
712,shifted accenture course know well spent five years strategy practice really telecom publishing video game interactive hollywood hardware providers including even automotive
713,shifted towards company called churning group
714,built bought developed scaled many first digital first communities companies like crunchy roll sports twitter media pandora sound cloud majority shareholders point
715,joined amazon first global head strategy amazon studios
716,started firm twenty eighteen focus gaming little known topic least related mainstream
717,period developed skill sets terms deep simulation technologies infrastructure understanding global media environment technologies requires servicing customers building world largest media business
718,nice convergent point super convergent technology
719,interest like would assume
720,spends decades
721,always obsessed video games virtual worlds storytelling ways technology changing
722,experiences twenty eighteen really playing fortnite spending time roblox platform believe thirty year term century concept long attempted idea starting unfold around
723,author
724,published wonderful book called meta revolutionize everything
725,touring world
726,life author
728,exhausting
729,think extraordinary beyond specific field application sense know amazon helped oversee billions dollars programming investment primarily content strategy
730,going green light afterwards would return evaluate
731,going process know content creation marketing decisions promotion reading reviews owning outcome
732,different sense thrilling public publicity fund feedbacks illuminati everything else around space
733,first
734,right
737,first least
738,well
739,never never
740,find interesting right think well like first like published book
741,writing kind topics long time publishing really useful insights quite vast array different digital technological aspects things well
742,right
743,yeah
744,started writing twenty thirteen
745,accenture still time least public blogger might twenty twelve
746,know interesting thing quite right pretty broad covered
747,reflection professional expertise interest also think linked field
748,book great lengths talk many different intersecting pieces technology
749,meta thought hardware
750,thought hardware
751,think computing processors network chips standards
752,excuse
753,rest understanding multiple different angles professional interest professional history personal expertise spending decade various themes author pretty essential
754,wrote book month period
755,culmination four prior years writing theme decade writing themes around without possible certainly good
756,mean many different areas right probably could written book given vast experience especially know experience within film television space production space
757,made really land meth earth know topic felt needed written
758,question
759,mean look started writing book months zuckerberg ever said intention transform meta company four months renamed company
760,think generally pivotal moment mass idea
761,first essay theme twenty eighteen
762,another january twenty twenty
763,extraordinarily popular
764,million reads year
765,still know fifteen thousand
766,plus overall conviction believe worthwhile personal undertaking professional undertaking believe critical importance making publicly available things learned space
767,available people reflected large corporate conversations participated startup portfolio
768,seemed like important worthwhile never written book loved writing
769,course became danny
770,last year
771,predicted certainly helpful also elevating stakes publish
772,said deep stock matter super important point view people believe matter versus surface like roadblocks fortnight fact many people refers meta versus point multiverse point view something gives like shiver back spine like saying internet matter like infrastructure
773,right
774,many layers
775,meta meta versus infrastructure
776,toolbox leaders utilize order apply concept business enterprise vast point view leaders inspire teams start envisioning opportunities area work
777,like networking know processors
778,spark need teams
779,great question
780,look often asked questions
781,believe meta significant
782,love subtitle book revolutionize everything little bombastic personality believe
783,think really three ways unpack
784,first principle incur
785,wanna talk specific explain least find exciting
786,know first foremost internet important technological innovations human history like truly thousands years
787,talking successor
788,fundamental changes technology excite history tells society changes business changes governments change products business models deployed leaders philosophies corporations
789,affected internet
790,second thing recognize part talking revolution idea
791,know building meta requires deep alterations enhancements everything upon internet built
792,networking infrastructure hardware
793,already believe internet remarkable
794,twenty percent global economy upgrade architecture design prioritization huge opportunity especially business
795,second think recognize makes change
796,articulate example real revolution mobile suddenly computer pocket time access internet opposed occasional access
797,points essential gonna revolution
798,revolution structurally shifted access computing networking resources billions people resources solved problems never imagined
799,widespread changed
800,fields believe internet personal computer sitting desk would reach
801,reach
802,exciting
803,third talk instant pronunciations
804,seeing devices used surgery seeing deployed military
805,seeing used design buildings simulation atom sound wave
806,light
807,improve energy efficiency
808,seeing deployed ease video conferencing produce greater emotional connectivity really believe take theories high abstraction internet talk changing architecture
809,talk means uses things
810,look primitive deployments
811,actually even talking meta
812,talking network
813,talking specific application
814,right software running
816,people
817,remarkable find incredibly inspiring
818,comments speaking people space
819,come probably stronger background virtual reality kind area space
820,comments speak people especially community point time well consider company going forward call meta best company
821,always different things different semantics definitions different things people
822,think right guess someone maybe space know twenty seventeen really start full resurgence maybe twenty fourteen
823,would consider company space mainly publishing media going
824,would refer matter best company think necessarily right wrong take
825,semantics really interrupt
826,mean certainly agree perspective calling something versus platform economically wrong
827,former
828,latter would correct
829,know everyone uses term meta singular
831,find guess would lose battle
832,people call roblox board
833,long term whole term away
834,talk internet maybe three internet differentiate generational internet nineties today
835,kind extends find people saying first company nuisance kind tried move beyond caring
836,reminds companies would nineties sudden internet company
837,like okay page make digital company
838,fundamental cultural financial philosophical decision
839,easy little distributed many people writing theme random often seems partly reflection fact meta affects everyone
840,indeed successor internet means
841,sounds little strange chevron says gonna grow pane
842,true next generation internet
843,regards feature
844,everyone says part
845,question related blockchain centralized aspect matters
846,think topics would like cover next minutes
847,people believe blockchain technology technologies essential part creation matter able token assets able port asset platform able securely transact affirm ownership assets using kind secure technology
848,problem point view take take
849,fact loads companies legacy systems legislation policy systems built created certain impossible migrate together towards blockchain technology
850,always remain centralized yeah
851,meta companies
852,take meta destined blockchain based centralized centralized matter earth companies together long time
853,really
854,reality recognize even decentralized foundation
855,centralization byproduct growth investment
856,heavily decentralized
857,experience heavily centralized
858,aggregated towards hotmail gmail facebook decline absolute devastation even large programs like
859,even take look crypto platforms
860,open nearly ninety percent share marketplace transactions entities
861,account
862,payment information store actually fulfill manage inventory
863,despite fact charge many marketplaces
864,course peer peer transaction free mean less network fees people open
865,open central verification curation insurance seems likely
866,blacklist list white list
867,understand natural
868,natural central effect brand trust habit
869,nothing technical centralization decent centralization
870,underlying perspective matter strong three tech widely adopted widely deployed central effects separate whether centralization versus decent centralization shift poll
871,decentralized nineteen ninety three hyper centralized seems likely gonna shift back towards decent centralization partly
872,question much necessarily require full decent
873,certainly extent wants side side
874,cannot device right really decentralized operations
875,multiplayer server cannot decentralized right good reasons believe laws physics never decentralized server running multi user simulation
876,unless want three frames second best
877,think world going decentralized applications partially decentralized ones mostly decentralized entirely centralized ones trade offs
878,little like saying bank accounts
879,mean also petty cash drawer home
880,clear
881,thank answer
882,another question related moonshot aspect matters
883,right operating talking mythical creature matter fully
884,mean call people
886,continue
887,right well
888,reality money behind companies changing names changing business order make happen
889,obviously ball started rolling gonna difficult stop snowball going mountain
890,question know declaration know meta gonna revolutionize
891,everything amazing companies believe
892,vision much think vision become really reality
893,decentralized world bring asset platform seems
894,mean vision mobile landscape going eighties material thousand thousand tens quite different
895,think controversy indiana gonna substantially different imagine
896,gonna substantially different imagine yeah
897,okay
898,course
899,funny like know asking
900,like global author done many interviews many different countries done three different languages today
901,everyone wants know answer
902,right life like twenty thirty change feel love tell happens wake morning home
903,yeah
904,inability answer question
906,think inevitable
907,folks expect answer though answer
908,therefore issue disappointed totally valid
909,look little disappointed know sweeney jensen huang like answer
910,know
911,already built people
912,would really
913,yeah
914,respond okay
915,vapor wear
916,answer know
917,know
918,first foremost technology recur
920,create technology reveals leads behavior
921,responded network innovations someone says interesting
922,know nick would
923,gonna build product nick
924,good examples would social
925,thought billions people wanted share photos daily life
926,several times
927,produce estimated eight hundred times photos total photos produced year nineteen ninety nine
928,would reasonably said
929,yeah
930,create photos digital finite capacity would ever estimated quantum
931,would ever said role deep fakes election engineering
932,time tells fully predict
933,also think logical answer mentioned earlier transforming accesses computing network working resources consequences double triple quadruple triple click compounding swinging dark
934,right happens everyone access effectively unlimited cloud based runtime idea
935,happens everyone create three simulation easily type whatsapp
936,clue
937,think know
938,matthew quite well documented gamer
939,right
941,yeah
942,envy love play video game absolutely love able balance sometimes playing video games taking meetings time
943,something need employ life
944,think plays games taking meeting time hope
945,definitely
946,sometimes meetings inside
947,course
948,sometimes away
949,yeah
950,mean know able jump play fortnite game someone actually meeting time
952,question
953,like read like okay
954,play know quite different guess like refer like flat screen kind games
955,obviously free
956,play like games
958,often partly little social network know rich originally
959,okay
961,well gonna question well
962,wanted jump little investment side things kind
963,know arguments always moment comes know jumping worlds playing like headset example
964,sometimes home want sofa relax whereas experiences require quite active kind active participation
965,obviously interacting three environment
966,wanted understand guess gamer also someone vividly understands know direction meta think develop near future bridge people traditionally play video games moment integrate aspects describing methodist
967,yeah
968,good question
969,mean challenges consider know really interactive mediums overall
970,actually flexible
971,look take look television television five half hours united states three hundred million people watching five half hours television
972,seniors watch seven half hours
973,incredible bundle
974,bundle genres function education news cultural participation relaxation
975,bundle different engagement styles lean phone
976,lights
977,watching game thrones love
978,know lean back
979,watching average thing
980,lean
981,right
982,background
983,ironing dishes homework
984,course bundle many many different forms competition forth
985,ability function purpose intensity access facilitates cultural dominance
986,take look gaming interactivity hand still harder
987,talking talking putting devices isolate rest world
988,functions limited
989,seeing growth news going
990,education going still primarily lean intense exclusionary behavior high skill requirements leisure
991,diversity axes think still gonna constrained
992,wanted something little different
993,dive little philosophical aspects meta
994,things people sometimes immediately revolution matter gonna bring fact concept call reality twenty years gonna completely different
995,digital content digital platforms call meta platforms right
996,gonna dream interoperability bleed real world matter gonna connecting tissue digital reality real world
997,promise know socially acceptable glasses know augment world vision digital content paint world data
998,create effect making think reality augmented wonderful book called reality plus
1000,gonna something cannot proceed
1001,exactly like right house without mobile phone life less meaningful
1002,connected people
1003,think gonna impact leave actual life think real life life live real world less meaningful gonna amazing lives amazing possibilities augment world wanna able disconnect digital world
1005,mean generally thesis meta three immersion presence matter deeply human experience
1006,natural
1008,reason tough time imagining anything fully substitute even ever really compete
1009,real thing
1010,sitting across good friend slapping back always going mean something
1011,sitting foot stadium sixty thousand cheering fans
1012,think always something feels richer deeper matter frame rate resolution spatial audio device always going incredible
1013,mean still close experiences without undermining aspect
1014,interested ways augment lost available
1015,spend time days talking hello feet
1016,lithography good example substitute complement substitute substitute tech real thing
1017,would still great could record person
1018,sitting making direct contact
1019,couch laughing
1020,pick queues differently
1021,enriched zoom substitute
1022,pornography reaches important
1023,think undermine real real possible technologies certainly bringing
1024,interesting based like nick question hoping getting right nick
1025,guess sense mobile phone almost social phone
1026,right assume moment happen happen augmented reality example take worlds digital worlds meet friends things like
1027,honesty real possibility connected augmented devices kind meta environment know disconnected pretty much everything need able things
1028,using example extreme
1029,guess like build next world connected
1030,even deeper level meta really exists
1031,example could guess know idea absolutely hate actually becoming real reality someone wearing augmented filter face something like
1032,know already instagram devices people post photos exclusively filter filter real time situation existing
1034,easy switch
1035,need connected environment everyone else sits take want opinion guess
1036,think
1037,think probably right know certain cohorts people example video gaming consoles important part ability socialize specific group friends
1038,tail sense critical device experience reflect organic interest community getting talk point
1040,circular
1041,society changes
1042,grew socializing coming home going chat text based message board
1043,longer particularly popular modern form communication
1044,require different devices different experiences
1045,time tend find arguments alien exclusionary tends fleeting assume
1046,know back twenty twelve alarm whether ipads schools would widen income inequality educational access
1047,well right cheapest ipad half cost first iphone inflation
1048,right iphone thousand seven would grand ipad hundred eighty bucks
1049,period time average person ipad course
1050,affordable
1051,society evolves probably need devices interact friends depending friends
1052,brief point time probably find devices expensive everyone participate
1053,also argument hard last longer ipad hold compress
1054,would like dive little data translation users matter
1055,another question related deep learning model
1056,matters
1057,concerns many people
1058,vocal proponents luis rosenberg know
1059,needs regulated quickly possible real danger amount data generated platform able create fingerprint behaviors needs perfect almost impossible manipulated companies using amount data create deep learning models sales
1060,digital salespeople people sell things make believe things change mind political views
1061,take think needs regulated matters urgent regulated matters point view
1062,certainly believer regulation need strongly strongly influence development certainly governments mobile
1063,subscribe high gary perspective technology technology neutral many double negatives
1064,know take look classical
1065,gary technology theory
1066,would neutral understand appreciate implicit hold technology
1067,leads active passive sometimes accidental manipulation behavioral shaping
1068,certainly social
1069,right took long time
1070,right
1071,happened fifteen years talked filter bubble
1072,filter bubble actually excluded information
1073,suddenly came around realize real reinforcement radical perspective
1074,inverse perspective actual chamber
1075,look believe important
1076,interesting aspect believe meta inevitable technologies solved every year computing processors become efficient matter moore
1077,broadband improves latency coverage
1078,result interested whether meta technologically realized whether meta build collectively prosperous healthy
1079,achieve
1080,think probably three different perspectives
1082,take look regulators particular bundling different elements ecosystem
1083,right apple grew twenty years remarkable integration operating system hardware iphone
1084,digital realm grown matured realize actually bundle many things hardware offering operating system first party software software distribution identity payments text standards
1085,think governments notably right drive bundling full technological expression competition layer
1086,second data portability
1087,much right standardizing charging ports good competition
1088,look matters data import export metadata coherent matters
1089,third probably question around firmer data rights user data literacy going
1090,learned
1091,also know platforms apple able manipulate portrayal warnings
1092,surprised started overt legislation says cannot data
1093,data data custody within national boundaries
1094,sort nuance consideration going overt prohibition data certain activities know
1095,device knows kids know allowed ever report information
1096,think kind regulation might actually backfire talking obviously really organizations companies infrastructure money resource meet requirements regulation actually could start players market simply resource meet regulation three sundays
1097,backfire course simple backfire question course know
1098,side effects unintended consequences absolutely time using think right cohesive strategy avoid mentioned
1099,example bundle layers competition compatibility data
1100,right point number point number theory preventing isolating suffocating competition given part stack
1101,making easier someone access information store competitive problem
1102,take look microsoft unveiled came brad smith vice chairman
1103,spoke great detail long term objective make first party services third party services access platform data
1105,still gonna harder
1106,mean small startup gonna effectively important
1107,element recognize prohibition certain data points diffuse well
1108,saying specific example meta data
1109,least chipping away point advantage versus startup
1110,generally generally reducing data housed collected used standardizing third parties depriving companies rights retention produce lock worsening
1111,great answer
1112,another question related partially asked
1113,related programmatic generated content using artificial intelligence
1114,seen last months images open system able generate images using text input
1115,linking full images
1116,people went crazy incredible
1117,kind generated photography generated systems right
1118,obviously know science fiction think future content three dimensional potentially used order create programmatic worlds demand meta platforms users question future content creation matter driven system eventually tied population user needs order create sort nirvana users user never want leave
1119,sort metrics kind scenario everything perfect everything amazing computer always know need based dopamine need hits
1120,history suggests ever know ambitious sort fear
1121,full predicted dopamine feedback loop everything might ever want
1122,yeah
1123,know like drawings sixty saying colonized earth moon
1124,point think much overestimate pace technological progress underestimated much sophistication needed manipulate
1125,right text algorithm
1126,missing disinformation proven pretty robust despite relatively little behind social graph
1127,interest graph
1128,tell something distressing know different systems used like dolly dolly allow make images living persons allow certain themes
1129,right holocaust nine eleven
1130,others fully open source name used
1131,instantly
1132,thirty seconds produce image remarkable fidelity
1133,happened five days nine eleven number individuals creating fake images real firefighters taking selfies joyful ground zero
1134,arguing inside
1135,person real situation looks real image looks real context fictitious haywire social absolutely
1136,actually relatively primitive experiential
1137,technologically fairly sophisticated
1139,three
1140,also moving
1141,terrifying terrifying
1143,disconnects well talking need regulation kind technologies
1144,right
1145,yeah
1146,absolutely
1147,mean talk backfire right backfire standardization
1148,well know best standards conventions file formats metadata teachers meta
1149,mandate realize wrong companies never able afford porting optimized systems know like joke fact file format dreadful remains standard
1150,crappy standards meta
1151,moving four great
1152,consequences
1153,innovation destroy companies
1154,prevent companies emerging
1155,start regulate procedural image generation used adverse consequences
1156,personally problem saying know side effects forcing people licenses database read generative programs
1157,good thing saying real persons
1158,probably good thing limiting right usage probably good thing
1159,like barriers seem intuitive much
1160,hard drive driver license need consequences using responsibly
1161,tapping experience building kind many years
1162,obviously insight
1163,things know align really goes hand hand fork process
1164,always bang people talking bringing things fold meta need
1165,guess creating gimmicks
1166,creating replicate within real world directly towards technology
1167,right
1168,know analogy given example online date insights know spend long long time filling contact information find matches versus mobile ones like like tinder example spend three seconds swipe differentiation technology stacks
1169,startup founder space coming pitch idea company centers around methodist
1170,make like straight away
1171,sure
1172,different ways take
1173,look think relating online dating example really brings back point something discussed earlier know nick believes fully predict future recur technology ways technologies lead different behaviors different experiences currently envision
1174,example take look progressive thinking publishing late nineties printer home prints newspaper every morning
1175,radical yeah
1176,personalized personalized mean well read sports section sports section
1177,paper
1178,like business
1179,sections
1180,radical
1181,future course version york times fixed edition
1183,daily york times people experience
1184,articles indefinitely updated
1185,actually future news unlabeled newspaper news field algorithm recommended
1186,first thing look entrepreneurs playing feces area dimension longer distribution
1187,printing home skipping sections want
1188,saying distribution longer problem
1189,content longer fixed time
1190,change product news well date anywhere mobile device
1191,well standing line board date well stand line dating fill three hundred question survey appropriate swipe bunch
1192,times
1193,look founders playing dimensions productive assuming world going different plainly reproduced
1194,favorite type entrepreneur really
1195,spent fifteen years trying solve problems within large company jade good
1196,basically spent fifteen years building interpersonal network hiring basically spending millions dollars corporate figure work
1197,company history effectively table free
1198,therefore still wanna solve problem instinctively need solve problem
1199,know hire
1200,know first three things
1201,makes sense
1202,think know like founders start kind people tend jump space think
1203,okay brilliant kind mess idea something something like instantly gonna picked
1204,also think mean thing always hear investors always demonstration traction
1206,particularly hard space relying companies kind hardware things like still quite early days
1207,know view
1208,sorry hardware front
1210,like traction side things
1211,know mean look
1212,things investor space need evidence product market also assume entire world going blown open
1213,discern things sometimes delayed give example spoken buzz words
1214,right
1215,like roblox released thousand
1216,cared twelve years
1217,really heard twenty twenty
1218,curve company engagement linear steep decade
1219,could easily thing topping maturing slowly
1220,answer mixture technological improvements product also technological improvements devices also generational change young people alpha particular
1221,easily product market stalled product market clear deferred momentum
1222,thesis game
1223,makes hard
1224,asymmetric bets importantly call like thesis arbitrage
1226,believe specific future everyone else therefore accept valuation take weight longer others
1227,case roblox would argue half patience half apple coming ipad
1228,extent talking
1229,time reverse case
1230,companies would argue major meta style dating plan forms example stalled imagined
1231,imagination dating category
1232,avatars play mobile games right expression
1233,york times printed home
1234,tinder button three deeply thought enough
1235,could wrong
1236,could horizontal part roblox screw
1237,matt thank much
1238,absolute pleasure honor podcast
1239,wanted remind listeners book called revolutionize everything
1240,sorry
1241,math revolutionize everything
1242,mathieu
1243,thank finding time busy schedule talk
1244,like date modern putting duct tape glue palmer luck prototype rift three thousand twelve
1245,know catch full episode field view subscribing youtube
1246,spotify apple music wherever podcasts miss another immersive technology moment
1247,subscribe today
1248,metaverse beyond buzzword
1249,hello
1250,benedict
1251,tony brown
1252,today today
1254,want talk
1255,whoever
1257,wrote piece actually really liked
1258,like pieces
1259,well thank
1260,specifically liked
1261,actually take back
1262,want talk right meta
1263,staying away topic
1264,prompted
1265,know
1266,actually sort write things meta drafts years recent
1267,sort different strands also
1268,digital transformation commerce sorts kind different threads floating around different ways talk link together understand
1269,know well would good place stop meta mean
1270,well meta kind means several things
1271,layer people often create like well sense think ties things together
1272,yeah
1273,might sort observation
1274,know presentation last time last year said feels like thinking category stuff huge amount unbiased
1275,going
1277,reilly thing think thousand five said sort point zero thing happening going things kind common thread across lots lots companies gonna call point well strand
1278,things work really kind capture people sense
1279,like common theme
1280,happened happening
1281,sometimes kind crystallize know kind aligns people trying build people kind pull
1282,ideas floating around come towards gonna mean gonna build
1283,sometimes said work
1284,sometimes thing describing really happen happens kind different
1285,know
1286,economy means
1287,internet things means
1288,sometimes terminology specific narrows
1289,sometimes kind super vegan hand wavy
1290,know particularly moment smartphones happened happened quite long time
1291,sometimes lots different things happening
1292,none thing
1293,course unless crypto
1294,crypto know crypto thing nothing else worth bothering
1295,everyone else like crypto saying lots things
1296,really happens horse
1297,kind drivers everything kind pulled along next years
1298,sort buzz works buzz works bullshit podcast
1299,answer well sometimes know actually value trying kind grasp stuff changing
1300,like encapsulation piece sentence stuck know
1301,meta versus like text hottest buzz word right companies pouring millions dollars development interesting
1302,like
1303,developing meta meta surely many things
1305,think liked piece pulled part
1306,meta thing surely
1307,passed point
1309,maybe
1310,well maybe things
1312,first yeah people mean think give definitive answer sense vague grabs people trying grab sort combination number merge games
1313,merge real world
1314,games speak breakout games games historically important universal
1315,mean people snapchat people snapchat games console
1316,true
1317,sector personally think four hundred million maybe hundred fifty million people games console
1318,know game full breakout become universal
1319,something fortnite roadblocks popular culture creativity people making games becoming long term franchises merged know things like pokemon early might mean
1320,world know wearing pair glasses stuff world game
1321,objects
1322,course hook frenzy digital goods sell obviously stuff happening
1323,nothing goods buying selling
1324,course bullshit know scams create ramping inside trading kinds stuff real
1325,wear pair glasses look wearing cool animation latest sync rihanna bought bought artist started following five years
1326,exclusive access drop trading
1327,yeah
1328,games culture entities goods create economy sort
1329,like massive super buzz words
1330,cemented meta thing
1331,probably stuff well
1332,microsoft talking enterprise meta hilarious like surely allowed build
1333,answer
1334,could pick well games broken
1335,exist
1336,apis still like incredibly small thing actually blah blah blah blah blah
1337,think sort interesting strands
1338,bullshit bullshit
1339,bullshit argument sounds like people talking information super highway early nineties
1340,whiteboard would normal consumers computers broadband networks color people share pictures maybe digital cameras
1341,might connected information services maybe newspapers sent broadband network maybe away like rich interactive multimedia experience
1342,remember words like interactive multimedia quite heard words
1343,remember interactive
1344,yeah yeah exactly interactive
1345,well like brief brief moment well would rich media look like computer would
1346,would course information super highway going built companies know like british telecom disney news bell labs york times would together make information super highway would like cable
1347,would kind centrally controlled programmed
1348,want
1349,somebody idea cool thing young people would like community seven subs section
1350,course happened internet created crucial part internet permission less innovation
1351,suddenly anybody could publish anything
1352,whole idea central control exploded hear people facebook saying going build meta like sitting nineteen ninety four saying well gonna build
1353,know like news corp
1354,like news corporation ninety ninety four saying well gonna gonna build works
1355,really
1356,mean story steve jobs craig mccoy craig recorders pioneer mobile phones america nineties talking internet craig says
1357,like incredibly clever successful understand huge amount technology
1359,understand like obviously stupid thing
1360,yeah
1361,yeah
1362,well gonna build universe
1363,think technology works anymore
1364,think anyone build gonna anything
1365,certainly think build
1366,bullshit strand
1367,wait
1368,okay
1369,might answered strand
1370,building come together pieces coming together making possible head also goes think overlook fact context feels right right post pandemic remote working spending time feels like online moment feels right meta know actual actual reality something happening
1372,talk culture talk something might built
1373,okay
1374,love
1375,maybe
1376,order
1377,think bullshit thing culture thing idea exists know meaningful form
1378,mean moment somebody
1379,whiteboard write social crypto place goods create economy draw around write meta
1380,like okay
1381,mean exists invest
1382,thinking whole bunch stuff already exist like really exist
1383,know smartphones
1384,glasses
1385,success
1386,questions know talked well work maybe like know sitting nineteen ninety three getting
1387,whiteboard writing broadband
1388,picture sharing
1389,messaging computers interactive multimedia services drawing walkthrough around
1391,stuff
1392,stuff happen like
1393,happen like sense software continuing break software culture stuff moves becomes like universal basic normal part lives take ownership
1394,mean stat always like online dating thousand seventeen forty percent relationships started online
1395,like four zero percent
1396,stuff gone geek computer computer literate like normal part paper life like small part smartphone culture internet culture mean
1397,people write internet culture mostly right geek geek internet like
1398,everybody
1399,think sense early means computer
1400,like know culture
1401,know happens everyone suburb drive thru know parking
1402,know parking fifties meant know teenage couples going
1405,park would things called parking
1406,course without like things culture change everyone access real
1407,finished smart
1408,know another twenty years
1409,bullshit part meta know wear pair glasses cool thing cultural thing done
1410,whatever whatever might cool cultural stuff awful instagram tiktok snapchat roadblocks cool cultural thing software
1411,happens done software
1412,look results results buzz words buzz words describe cultural social situations moments happening
1413,come nowhere
1414,always
1415,know people
1416,people push buzz words representation
1419,know gets phrases like punk
1420,mean punk exists called punk know great cultural historian
1421,know social phenomena happen reflect people wanna feel given labels sometimes labels stick sometimes
1422,sometimes someone creates label turns really thing
1423,spoke yeah yeah
1424,sort happening
1425,think side built partly meta conversation also think kind fascinating crypto conversation know think enormous amount bullshit said promoting crypto enormous amount bullshit said criticizing crypto bullshit know criticize crypto amazing complex rooms different layers incredibly complicated understand forty five different things
1427,anything
1428,know remember getting internet nineties
1429,know like windows ninety five maybe even three point
1430,know windows
1431,modem need floppy test install software would allow access internet internet
1432,wanted website
1433,mean maybe even kind fruitful analogy
1434,imagine want website like nineteen ninety
1435,would well either install server
1436,people thought worked like browser would also server
1437,would also editor would load
1438,browser could edit
1439,built original browser
1440,idea content would consume read opposed documents would editing
1441,clear microsoft built browser word nineties reason late nineties reason
1442,would editing html like editing word documents
1443,people realize morn publishing
1445,obviously ethernet connection home server leave phone line time know broadband exist
1446,gonna need space server connected internet means server means gonna need unique account server home directory gonna need connect configure permissions folder
1447,going need write html files probably text editor upload using
1448,great segment people good days
1449,yeah
1450,want know domain name
1451,mean domain names easy
1452,happened facebook last week
1453,alright
1454,domain names like kind dark connotation
1455,wanna send email domain
1456,gonna need know records
1457,going need running email server
1458,gmail
1459,mean hotmail people minds basis
1460,look crypto well acronyms complicated
1461,like well useful people build solve
1462,solved bowl abstract simplified
1463,interesting thing course abstract simplifying centralized
1464,almost inherently
1465,talk
1467,well either fifty different apps need says decentralized sent
1468,decentralized different kind anyway
1469,thing sort thinking context complexity lack clarity components would
1470,remotely obvious would webb
1471,sort work well
1472,absorbed websites disappeared
1473,email lots people trying create parallel networks things like point cost almost bought half billion dollars fucked disappeared
1474,meanwhile course comp serve sort parallel private
1475,microsoft network parallel private
1476,networks happened little little port could onto internet sealed bots
1477,clear quite going email
1478,weird like think like mean talk somebody people working wallet application lets
1479,lets send message somebody owns another
1480,another crypto wallet
1481,like understand without questioning browser reload button forward back button message owner website button
1482,like inherent works
1483,might email address button completely depth different technology
1484,edit like
1485,remember track bags
1486,links
1487,tell linked page
1488,mean could google maybe work look server logs like like system
1489,inherent links links show website someone links
1490,also people thought system built
1491,like stuff coalesce experimentation trial error network effects people scrambling people trying build stuff useful
1492,mark recent added photos embedded photographs people really angry mike angry
1494,argument like
1495,mark
1497,know whole sense obvious
1498,course worked
1499,need decentralized well different strategies take foolish thinking decide gonna work saying going
1500,look crypto like know means crypto expert know clearly forty five different things might happen
1501,people deaf trying build horizontal vertically like layers
1502,also horizontally applications wallet form sort analog browser device primitive building block home connects services maybe
1503,maybe maybe layers distraction
1504,centralized decentralized
1505,like forces pull user experience instead lots user experiences need people able understand fuck
1506,know know difference saying complicated four hundred things fixed saying centralized want decentralized well decentralized gotta learn four hundred things
1507,like
1508,sure people opinions informed mine
1509,kind point like stuff still wide open
1510,know
1511,sense like complexity like stuff gets complexity gets fixed rather gets abstract need know know pictures instagram page need know
1512,irony course know many ways internet experience already massively decentralized happening browser anymore
1513,happening safari
1514,happening instagram whatsapp twitter telegram signal different things
1515,need know using http
1516,mean cares using cares well protocol
1518,could talk
1519,fascinating thing make point know look closed
1520,minute million apps
1521,know look windows closed open developers
1522,apps open
1523,millions
1524,closed levels open others
1525,closed oems open developers open windows
1526,comes benefits install trust
1527,sort know four different dimensions complexity layer abstraction simplify combine things fewer experiences everything works experiences layers open layers closed
1528,open open people little wall trust android argument linux argument well people work open build ecosystem
1529,open work
1530,open pull ecosystem
1531,layers need open
1532,kind dimensions open clay centralized decentralized complex simple controlled uncontrolled
1533,crypto frankly white happened ways wide open early internet
1534,also many ways open source
1535,internet open source came ideology
1536,know internet hated government open source hated capitalism
1537,crypto hated government
1538,know people great
1539,censorship
1540,people kind
1541,thing calling censorship people call child porn
1542,difference attitude
1543,like evolution like seems like everything
1544,starts
1545,also like powerful forces
1546,resulted things like
1547,microsoft evil apple evil google evil
1548,maybe wanted twenty
1549,sort long saying think future
1550,universe mobile lots lots stuff
1551,development
1552,yeah
1553,based everything said
1554,last couple days thinking like
1555,call meta
1556,everything described real world economy
1557,bridging spoken world roblox fortnite know gone detail amount detail kind trying create bridge online space real world economy actually making money
1558,spoke joined call feeling someone mentioned direct avatar forget direct consumer
1559,direct avatar whole business model idea basically selling products directly avatar digital identities entities
1560,interesting need supply
1561,yeah
1562,avatar definitely white
1563,avatar definitely
1564,whiteboard
1565,yeah
1567,think whole marketing idea direct avatar
